t,C,x
0.008592964824120603,7.196856730011514e-7,0.012075139504687122
0.00864321608040201,7.196856730011514e-7,0.014357626161372667
0.008693467336683417,7.196856730011514e-7,0.016632844250217535
0.008743718592964824,7.196856730011514e-7,0.01890088680479298
0.008793969849246231,7.196856730011514e-7,0.0211618735345478
0.008844221105527638,7.196856730011514e-7,0.023415901156459196
0.008894472361809045,7.196856730011514e-7,0.02566308583278814
0.008944723618090452,7.196856730011514e-7,0.027903529760557516
0.008994974874371859,7.196856730011514e-7,0.030137359987829036
0.009045226130653266,7.196856730011514e-7,0.03236468816292296
0.009095477386934673,7.196856730011514e-7,0.03458563612017778
0.00914572864321608,7.196856730011514e-7,0.036800313989571516
0.009195979899497487,7.196856730011514e-7,0.03900885197822395
0.009246231155778894,7.196856730011514e-7,0.04121136554360857
0.0092964824120603,7.196856730011514e-7,0.04340799463617361
0.009346733668341708,7.196856730011514e-7,0.045598871313343475
0.009396984924623115,7.196856730011514e-7,0.04778412711024734
0.009447236180904522,7.196856730011514e-7,0.049963888943295134
0.00949748743718593,7.196856730011514e-7,0.05213833344124648
0.009547738693467337,7.196856730011514e-7,0.05430757221464415
0.009597989949748744,7.196856730011514e-7,0.056471795207803425
0.009648241206030151,7.196856730011514e-7,0.05863113372967572
0.009698492462311558,7.196856730011514e-7,0.06078576198063722
0.009748743718592965,7.196856730011514e-7,0.06293585856726422
0.009798994974874372,7.196856730011514e-7,0.06508160414818401
0.00984924623115578,7.196856730011514e-7,0.06722318783493145
0.009899497487437186,7.196856730011514e-7,0.0693608096128009
0.009949748743718593,7.196856730011514e-7,0.07149468086449624
0.01,7.196856730011514e-7,0.07362520224865304
0.0,7.906043210907702e-7,0.0
5.0251256281407036e-5,7.906043210907702e-7,0.0023019685413883852
0.00010050251256281407,7.906043210907702e-7,0.004616461566747268
0.00015075376884422112,7.906043210907702e-7,0.00692324260508035
0.00020100502512562814,7.906043210907702e-7,0.00922241600655556
0.0002512562814070352,7.906043210907702e-7,0.01151408451600871
0.00030150753768844223,7.906043210907702e-7,0.013798350712498087
0.00035175879396984926,7.906043210907702e-7,0.01607530972145378
0.0004020100502512563,7.906043210907702e-7,0.01834507787205618
0.0004522613065326633,7.906043210907702e-7,0.020607745774591946
0.0005025125628140704,7.906043210907702e-7,0.022863444310892492
0.0005527638190954774,7.906043210907702e-7,0.025112260933417847
0.0006030150753768845,7.906043210907702e-7,0.027354330765076137
0.0006532663316582914,7.906043210907702e-7,0.02958974035792332
0.0007035175879396985,7.906043210907702e-7,0.03181862240617683
0.0007537688442211055,7.906043210907702e-7,0.03404108632090024
0.0008040201005025126,7.906043210907702e-7,0.03625725067552044
0.0008542713567839196,7.906043210907702e-7,0.038467241060506994
0.0009045226130653266,7.906043210907702e-7,0.04067119010704153
0.0009547738693467337,7.906043210907702e-7,0.04286921326013429
0.0010050251256281408,7.906043210907702e-7,0.045061444399433506
0.0010552763819095478,7.906043210907702e-7,0.04724802901947428
0.0011055276381909548,7.906043210907702e-7,0.04942909486222275
0.0011557788944723617,7.906043210907702e-7,0.05160477739042979
0.001206030150753769,7.906043210907702e-7,0.05377523947031011
0.001256281407035176,7.906043210907702e-7,0.05594063495894723
0.0013065326633165829,7.906043210907702e-7,0.0581011040895028
0.0013567839195979898,7.906043210907702e-7,0.06025682336210324
0.001407035175879397,7.906043210907702e-7,0.06240796567457673
0.001457286432160804,7.906043210907702e-7,0.06455470937379208
