s,k,tauit,xt,tauitp
0.36180904522613067,2.97,9.208145405846317,0.4534604251798597,36.707447983589674
0.36683417085427134,2.97,9.393968491232622,0.41990808946321473,37.19580216700412
0.37185929648241206,2.97,9.58155443155721,0.39812605098110826,37.43282845182955
0.3768844221105528,2.97,9.769957010533455,0.3850279417488164,37.536132444584126
0.38190954773869346,2.97,9.958696304103745,0.3781889591504144,37.57502127510458
0.3869346733668342,2.97,10.147548097388123,0.3758633147304215,37.58482258853656
0.39195979899497485,2.97,10.336413325272716,0.3768609737389934,37.5819906816334
0.3969849246231156,2.97,10.525248147742737,0.3804064411558688,37.57361227720022
0.4020100502512563,2.97,10.71403299749954,0.3860230674774788,37.56234439621804
0.40703517587939697,2.97,10.9027553914781,0.39345116781307565,37.548732252818034
0.4120603015075377,2.97,11.091402448610877,0.40259567143248204,37.53217500483952
0.41708542713567837,2.97,11.279956031686517,0.41349826603459894,37.511186232262155
0.4221105527638191,2.97,11.46838793887428,0.42633035337582215,37.483205432020455
0.4271356783919598,2.97,11.656653262016844,0.44140619870611486,37.44395396034252
0.4321608040201005,2.97,11.844678551892066,0.4592202048095384,37.386034441069036
0.4371859296482412,2.97,12.03233965183983,0.48051869022881244,37.29595335541484
0.44221105527638194,2.97,12.219416743930305,0.5064300236022397,37.147694297504586
0.4472361809045226,2.97,12.405500136455409,0.5386767791840703,36.887827714613444
0.45226130653266333,2.97,12.589775802710069,0.5799553359529556,36.40040904233474
0.457286432160804,2.97,12.770531165916506,0.6345058203982239,35.42396868586586
0.4623115577889447,2.97,12.944080680863923,0.7086549254837529,33.40980427876538
0.46733668341708545,2.97,13.103191594132785,0.8098849534547095,29.557680560758474
0.4723618090452261,2.97,13.237916945512797,0.941715804760664,23.859910376433426
0.47738693467336685,2.97,13.342781502952514,1.0984637008027773,18.020669232444707
0.4824120603015075,2.97,13.421329496390353,1.2700726768640678,13.500656373859023
0.48743718592964824,2.97,13.480869012861318,1.4492493281384706,10.402759371203818
0.49246231155778897,2.97,13.527592770778742,1.632221748389789,8.331192040811457
0.49748743718592964,2.97,13.565716813624102,1.8171916356354876,6.932027476624608
0.5025125628140703,2.97,13.597994011428742,2.0032770035456915,5.974420365445309
0.507537688442211,2.97,13.626264996155735,2.1900157726294,5.319677022210419
0.5125628140703518,2.97,13.651827854629985,2.3771457889514185,4.886994330530021
0.5175879396984925,2.97,13.675676713581014,2.5645025677882978,4.632800096268995
0.5226130653266332,2.97,13.698664447672035,2.7519668327554925,4.5446755345611125
0.5276381909547738,2.97,13.721660221219148,2.9394288679747564,4.642804793919484
0.5326633165829145,2.97,13.745764897595892,3.1267522443485687,5.007727359739364
0.5376884422110553,2.97,13.7728232647488,3.3136684217212067,5.888270849027192
0.542713567839196,2.97,13.807341335680805,3.4993229112129356,8.328796254024294
0.5477386934673367,2.97,13.878260779572255,3.671179341857811,31.525769495434332
0.5527638190954773,2.97,13.996203404172022,3.545496437342254,15.932150919373926
0.5577889447236181,2.97,14.06913824712884,3.3713118504559185,13.70386690988116
0.5628140703517588,2.97,14.136765824136523,3.194967103682155,13.3508522983273
0.5678391959798995,2.97,14.204185911940725,3.0185435114441086,13.538218755280214
0.5728643216080402,2.97,14.273229951812354,2.8427484044608837,13.971015821044913
0.5778894472361809,2.97,14.344836595308864,2.6679822885013857,14.547926940343997
0.5829145728643216,2.97,14.419610376550462,2.4945485034074655,15.227134454499705
0.5879396984924623,2.97,14.498013787943295,2.322725977576833,15.990654798731935
0.592964824120603,2.97,14.580449939548114,2.1528024519900857,16.831657541648163
0.5979899497487438,2.97,14.667305308267652,1.9850959863814177,17.74989821529668
0.6030150753768844,2.97,14.75897812266876,1.8199751080075262,18.750227929489053
0.6080402010050251,2.97,14.855904113739774,1.6578840688180303,19.842860541651195
0.6130653266331658,2.97,14.958586098167679,1.4993796253781864,21.044522754221315
0.6180904522613065,2.97,15.067630096399233,1.3451870844140985,22.379709213374248
0.6231155778894473,2.97,15.183784790611538,1.1962843549529096,23.880362092249435
0.628140703517588,2.97,15.307968514661237,1.0540196760119418,25.58043966016424
