t,k,x
9.422110552763819,0.9936734693877551,2.9096630321086114
9.547738693467336,0.9936734693877551,3.002100952621615
9.673366834170855,0.9936734693877551,3.0914806115165785
9.798994974874372,0.9936734693877551,3.1783139824364963
9.924623115577889,0.9936734693877551,3.2629323681930162
10.050251256281408,0.9936734693877551,3.3456445530143504
10.175879396984925,0.9936734693877551,3.426690055521973
10.301507537688442,0.9936734693877551,3.5063076202673775
10.42713567839196,0.9936734693877551,3.584640600967223
10.552763819095478,0.9936734693877551,3.661620529638202
10.678391959798995,0.9936734693877551,3.7374456828370364
10.804020100502512,0.9936734693877551,3.812019990843056
10.92964824120603,0.9936734693877551,3.8853899799113094
11.055276381909549,0.9936734693877551,3.9574352059873896
11.180904522613066,0.9936734693877551,4.028213000860236
11.306532663316583,0.9936734693877551,4.0974524365295375
11.4321608040201,0.9936734693877551,4.165283111082673
11.557788944723619,0.9936734693877551,4.231256841343783
11.683417085427136,0.9936734693877551,4.295574371515231
11.809045226130653,0.9936734693877551,4.357581567073961
11.93467336683417,0.9936734693877551,4.41753399187238
12.06030150753769,0.9936734693877551,4.4745211350349425
12.185929648241206,0.9936734693877551,4.52880703278516
12.311557788944723,0.9936734693877551,4.579145424859312
12.43718592964824,0.9936734693877551,4.6256211058438685
12.56281407035176,0.9936734693877551,4.666765910745346
12.688442211055277,0.9936734693877551,4.701567763286255
12.814070351758794,0.9936734693877551,4.72895669979281
12.93969849246231,0.9936734693877551,4.745320836916277
13.06532663316583,0.9936734693877551,4.7482576938402605
13.190954773869347,0.9936734693877551,4.732648173969413
13.316582914572864,0.9936734693877551,4.686294442106904
13.442211055276381,0.9936734693877551,4.595517133469146
13.5678391959799,0.9936734693877551,4.425467950031543
13.693467336683417,0.9936734693877551,4.103963131105427
13.819095477386934,0.9936734693877551,3.4654111700585037
13.944723618090451,0.9936734693877551,2.303728860246467
14.07035175879397,0.9936734693877551,1.2021218232421507
14.195979899497488,0.9936734693877551,0.8694072827151211
14.321608040201005,0.9936734693877551,0.857133884071911
14.447236180904522,0.9936734693877551,0.919059248711634
14.57286432160804,0.9936734693877551,1.0034878963032543
14.698492462311558,0.9936734693877551,1.0992575167700658
14.824120603015075,0.9936734693877551,1.2033951033992383
14.949748743718592,0.9936734693877551,1.314763948372262
15.075376884422111,0.9936734693877551,1.4324320455942847
15.201005025125628,0.9936734693877551,1.5555325851258173
15.326633165829145,0.9936734693877551,1.6828093193891425
15.452261306532664,0.9936734693877551,1.8126959114772974
15.577889447236181,0.9936734693877551,1.943474486547307
15.703517587939698,0.9936734693877551,2.073343952848366
15.829145728643216,0.9936734693877551,2.200628123410677
15.954773869346734,0.9936734693877551,2.3239173201806254
16.08040201005025,0.9936734693877551,2.442200154432372
16.20603015075377,0.9936734693877551,2.5553122661559793
16.331658291457288,0.9936734693877551,2.6630322283204566
16.457286432160803,0.9936734693877551,2.765590766496949
16.582914572864322,0.9936734693877551,2.8636994257898025
16.70854271356784,0.9936734693877551,2.9579661559552792
16.834170854271356,0.9936734693877551,3.048754632757394
16.959798994974875,0.9936734693877551,3.136715373763381
17.08542713567839,0.9936734693877551,3.2223347228921604
17.21105527638191,0.9936734693877551,3.305931219363014
17.33668341708543,0.9936734693877551,3.3877671398968796
17.462311557788944,0.9936734693877551,3.468083672808868
17.587939698492463,0.9936734693877551,3.547044308539294
17.71356783919598,0.9936734693877551,3.624638470497529
17.839195979899497,0.9936734693877551,3.701026887016499
17.964824120603016,0.9936734693877551,3.7762269819416154
18.09045226130653,0.9936734693877551,3.8501502155485396
18.21608040201005,0.9936734693877551,3.9228708016303586
18.34170854271357,0.9936734693877551,3.9942509520619756
18.467336683417084,0.9936734693877551,4.064242864493818
18.592964824120603,0.9936734693877551,4.132784589516046
18.718592964824122,0.9936734693877551,4.199634354866426
18.844221105527637,0.9936734693877551,4.264829461252324
18.969849246231156,0.9936734693877551,4.327898979365211
19.09547738693467,0.9936734693877551,4.388979396145002
19.22110552763819,0.9936734693877551,4.447309800062356
19.34673366834171,0.9936734693877551,4.5031129641348775
19.472361809045225,0.9936734693877551,4.55522987268988
19.597989949748744,0.9936734693877551,4.603856369976503
19.723618090452263,0.9936734693877551,4.647593475859919
19.849246231155778,0.9936734693877551,4.685595973309826
19.974874371859297,0.9936734693877551,4.716995745815854
20.100502512562816,0.9936734693877551,4.7387685528788746
20.22613065326633,0.9936734693877551,4.748838179180962
20.35175879396985,0.9936734693877551,4.743339722770894
20.477386934673365,0.9936734693877551,4.711957088522714
20.603015075376884,0.9936734693877551,4.647008234132282
20.728643216080403,0.9936734693877551,4.521378025482951
20.85427135678392,0.9936734693877551,4.285864245781772
20.979899497487438,0.9936734693877551,3.8288864031954066
21.105527638190956,0.9936734693877551,2.927884667696826
21.231155778894472,0.9936734693877551,1.6415600874320302
21.35678391959799,0.9936734693877551,0.9584326645532371
21.482412060301506,0.9936734693877551,0.8464080608632565
21.608040201005025,0.9936734693877551,0.8848956816767387
21.733668341708544,0.9936734693877551,0.9609835827719746
21.85929648241206,0.9936734693877551,1.0518900214253695
21.984924623115578,0.9936734693877551,1.1522266073407073
22.110552763819097,0.9936734693877551,1.2602160461844587
22.236180904522612,0.9936734693877551,1.3749458376210157
22.36180904522613,0.9936734693877551,1.4955951926205064
22.487437185929647,0.9936734693877551,1.620989910763685
22.613065326633166,0.9936734693877551,1.7498371272403737
22.738693467336685,0.9936734693877551,1.8804020398387642
22.8643216080402,0.9936734693877551,2.0109129774575054
22.98994974874372,0.9936734693877551,2.139594143511427
23.115577889447238,0.9936734693877551,2.264923148803726
23.241206030150753,0.9936734693877551,2.385829795343788
23.366834170854272,0.9936734693877551,2.5015361155705733
23.492462311557787,0.9936734693877551,2.611698452161009
23.618090452261306,0.9936734693877551,2.716656821102991
